2024-01-01 01:54:04,906 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -253 60 -15
2024-01-01 01:54:05,453 [Server thread] INFO SGS Treasure! | IronChestGenerator.java:271 | CHEATER! Iron chest at coords: -211 52 72
2024-01-01 01:54:05,758 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -169 53 44
2024-01-01 01:54:06,357 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -136 57 150
2024-01-01 01:54:06,729 [Server thread] INFO SGS Treasure! | IronChestGenerator.java:271 | CHEATER! Iron chest at coords: -96 27 -57
2024-01-01 01:54:08,055 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -40 96 269
2024-01-02 01:54:18,181 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -536 31 678
2024-01-02 01:54:19,707 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -478 36 449
2024-01-02 01:54:26,360 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -263 44 -157
2024-01-02 01:54:34,947 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 85 32 42
2024-01-02 01:54:36,271 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 30 25 -68
2024-01-02 01:54:38,817 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -10 21 -166
2024-01-02 01:54:44,101 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 40 26 -282
2024-01-02 01:54:54,489 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 70 31 145
2024-01-02 01:54:56,677 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 363 34 348
2024-01-02 01:54:59,406 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 482 31 398
2024-01-02 02:16:08,995 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -558 30 355
2024-01-02 02:16:12,912 [Server thread] INFO SGS Treasure! | PirateChestGenerator.java:273 | CHEATER! Pirate Chest at coords: -485 52 491
2024-01-02 02:16:13,550 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -463 44 631
2024-01-02 02:16:15,075 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -453 54 383
2024-01-02 02:16:16,277 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -391 53 500
2024-01-02 02:16:18,265 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -310 32 663
2024-01-02 02:16:19,572 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -214 23 482
2024-01-02 02:45:19,190 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 129 43 -94
2024-01-02 02:45:21,219 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 179 68 -349
2024-01-02 02:45:24,875 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 276 48 -21
2024-01-02 02:45:25,549 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 297 66 -75
2024-01-02 02:45:26,250 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 331 90 -258
2024-01-02 02:45:28,930 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 432 55 -156
2024-01-02 03:19:30,666 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -190 68 -313
2024-01-02 03:19:31,911 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -138 72 -204
2024-01-02 03:19:33,329 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -102 62 -91
2024-01-02 03:19:34,759 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -27 42 -138
2024-01-02 03:19:36,659 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 55 70 -25
2024-01-02 03:19:37,463 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 62 43 -411
2024-01-02 03:19:38,031 [Server thread] INFO SGS Treasure! | IronChestGenerator.java:271 | CHEATER! Iron chest at coords: 119 23 -209
2024-01-02 04:05:52,830 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -291 47 402
2024-01-02 04:05:56,876 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -148 71 489
2024-01-02 04:05:57,393 [Server thread] INFO SGS Treasure! | IronChestGenerator.java:271 | CHEATER! Iron chest at coords: -111 64 298
2024-01-02 04:05:59,363 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -27 35 283
2024-01-02 04:36:14,266 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 33 80 10
2024-01-02 04:36:15,632 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -257 49 321
2024-01-02 04:36:17,501 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -220 75 88
2024-01-02 04:36:19,058 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -173 65 149
2024-01-02 04:36:19,872 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -168 50 340
2024-01-02 04:36:23,567 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -32 27 251
2024-01-02 04:45:57,134 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -67 39 128
2024-01-02 04:45:58,213 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -31 30 195
2024-01-02 05:24:20,761 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -271 32 475
2024-01-02 05:25:21,871 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -360 48 536
2024-01-02 05:26:07,210 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 5 43 198
2024-01-02 05:27:02,876 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: -455 34 466
2024-01-02 05:28:02,594 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 31 32 417
2024-01-02 05:28:04,914 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 78 35 211
2024-01-02 05:28:05,758 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 103 29 318
2024-01-02 05:38:00,800 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 9870 52 -50
2024-01-02 05:38:01,790 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 10049 61 -65
2024-01-02 05:38:09,390 [Server thread] INFO SGS Treasure! | WoodenChestGenerator.java:170 | CHEATER! Wooden Chest at coords: 10003 62 -24
2024-01-02 05:38:15,385 [Server thread] INFO SGS Treasure! | DungeonGenerator.java:244 | CHEATED! Dungeon spawned at coords: 10038 64 -130
2024-01-02 05:51:11,424 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: 10150 72 213
2024-01-02 09:33:57,109 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -388 84 105
2024-01-02 09:33:58,906 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -332 24 136
2024-01-02 09:34:00,353 [Server thread] INFO SGS Treasure! | LockedWoodenChestGenerator.java:202 | CHEATER! Locked Wooden Chest at coords: -262 46 116
2024-01-02 09:34:01,500 [Server thread] INFO SGS Treasure! | IronChestGenerator.java:271 | CHEATER! Iron chest at coords: -255 49 248
